発表日,芦屋,宝塚,伊丹,加古川,加東,中播磨,龍野,赤穂,豊岡,朝来,丹波,洲本,神戸,姫路,尼崎,西宮,明石,計
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-06,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2020-03-08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2020-03-09,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4
2020-03-10,0,0,1,0,1,0,0,0,0,0,0,0,2,2,2,1,0,9
2020-03-11,2,2,1,0,1,0,0,0,0,0,0,0,3,2,1,0,0,12
2020-03-12,0,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
2020-03-13,0,1,2,1,0,0,0,0,0,0,0,0,6,0,0,0,0,10
2020-03-14,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
2020-03-15,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11
2020-03-16,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4
2020-03-17,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
2020-03-18,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-03-19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2020-03-20,0,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8
2020-03-21,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
2020-03-22,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
